server,status,message,start_time,end_time
nrusca-sld0304,1,Shell Script Execution Successful,2023-07-17 04:35:19.939298,2023-07-17 04:36:16.508586
nrusca-sld4043,1,Shell Script Execution Successful,2023-07-17 04:35:19.941674,2023-07-17 04:36:00.700290
NRCHBS-SLD4157,0,Shell Script Execution Unsuccessful: Server 'NRCHBS-SLD4157' not found in known_hosts,2023-07-17 04:35:19.943875,2023-07-17 04:35:47.882833
nrchbs-sld4113,1,Shell Script Execution Successful,2023-07-17 04:35:19.946018,2023-07-17 04:35:59.628638
nrchbs-sld4116,1,Shell Script Execution Successful,2023-07-17 04:35:19.948109,2023-07-17 04:35:58.398810
nrusca-sld4227,1,Shell Script Execution Successful,2023-07-17 04:35:19.951871,2023-07-17 04:36:01.260100
nrusca-sld4219,1,Shell Script Execution Successful,2023-07-17 04:35:19.953846,2023-07-17 04:36:02.369929
nrusca-sld4179,1,Shell Script Execution Successful,2023-07-17 04:35:19.956616,2023-07-17 04:36:05.139740
nrusca-sld4178,1,Shell Script Execution Successful,2023-07-17 04:35:19.960384,2023-07-17 04:36:04.537184
nrchbs-sld4130,1,Shell Script Execution Successful,2023-07-17 04:35:19.960644,2023-07-17 04:36:50.648924
nrusca-sld4199,1,Shell Script Execution Successful,2023-07-17 04:35:47.895679,2023-07-17 04:36:06.158036
nrusca-sld4203,1,Shell Script Execution Successful,2023-07-17 04:35:58.411489,2023-07-17 04:36:17.295378
nrchbs-sld4086,1,Shell Script Execution Successful,2023-07-17 04:35:59.990483,2023-07-17 04:36:20.005777
nrchbs-sld0147,1,Shell Script Execution Successful,2023-07-17 04:36:02.033988,2023-07-17 04:37:00.290595
NRUSCA-SLD4242,0,Shell Script Execution Unsuccessful: Server 'NRUSCA-SLD4242' not found in known_hosts,2023-07-17 04:36:02.543195,2023-07-17 04:36:13.021366
nrusca-sld4222,1,Shell Script Execution Successful,2023-07-17 04:36:04.938473,2023-07-17 04:36:32.153875
nrusau-slt4032,1,Shell Script Execution Successful,2023-07-17 04:36:07.493372,2023-07-17 04:36:50.506183
nrusca-sld4071,1,Shell Script Execution Successful,2023-07-17 04:36:08.153281,2023-07-17 04:36:32.598287
NRCHBS-SLD4219,0,Shell Script Execution Unsuccessful: Server 'NRCHBS-SLD4219' not found in known_hosts,2023-07-17 04:36:09.535167,2023-07-17 04:36:22.173736
nrusca-sld4910,1,Shell Script Execution Successful,2023-07-17 04:36:16.841452,2023-07-17 04:36:33.794337
nrusca-sld4899,1,Shell Script Execution Successful,2023-07-17 04:36:20.370848,2023-07-17 04:36:34.615563
nrchbs-sld4232,1,Shell Script Execution Successful,2023-07-17 04:36:21.175622,2023-07-17 04:36:38.755707
