Version,abbreviation,Product ,Description,Platform,patch_file,base_dir,base_sub_dir,os_name,db_release,patch_cycle,patch_home_dir,Patch Number,File Name,OPatch Utility
11.2.0.4.230117,11g,RDBMS,DATABASE PATCH SET UPDATE 11.2.0.4.230117,Linux x86-64,patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,11g,H1_2023,patch,34677698,p34677698_112040_Linux-x86-64.zip,11.2.0.3.38 or later
11.2.0.4.230117,11g,RDBMS,DATABASE PATCH SET UPDATE 11.2.0.4.230117,IBM AIX on POWER Systems (64-bit),patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,11g,H1_2023,patch,34677698,p34677698_112040_AIX64-5L.zip,11.2.0.3.38 or later
11.2.0.4.230117,11g,RDBMS,DATABASE PATCH SET UPDATE 11.2.0.4.230117,Oracle Solaris on SPARC (64-bit),patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,11g,H1_2023,patch,34677698,p34677698_112040_SOLARIS64.zip,11.2.0.3.38 or later
12.1.0.2.230117,12cR1,RDBMS,DATABASE PATCH SET UPDATE 12.1.0.2.230117,Linux x86-64,patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,12cR1,H1_2023,patch,34677720,p34677720_121020_Linux-x86-64.zip,12.2.0.1.34 or later
12.1.0.2.230117,12cR1,GI,GRID INFRASTRUCTURE PATCH SET UPDATE 12.1.0.2.230117,Linux x86-64,grid_patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,12cR1,H1_2023,grid_patch,34774519,p34774519_121020_Linux-x86-64.zip,12.2.0.1.34 or later
12.1.0.2.230117,12cR1,RDBMS,DATABASE PATCH SET UPDATE 12.1.0.2.230117,IBM AIX on POWER Systems (64-bit),patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,12cR1,H1_2023,patch,34677720,p34677720_121020_AIX64-5L.zip,12.2.0.1.34 or later
12.1.0.2.230117,12cR1,GI,GRID INFRASTRUCTURE PATCH SET UPDATE 12.1.0.2.230117,IBM AIX on POWER Systems (64-bit),grid_patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,12cR1,H1_2023,grid_patch,34774519,p34774519_121020_AIX64-5L.zip,12.2.0.1.34 or later
12.1.0.2.230117,12cR1,RDBMS,DATABASE PATCH SET UPDATE 12.1.0.2.230117,Oracle Solaris on SPARC (64-bit),patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,12cR1,H1_2023,patch,34677720,p34677720_121020_SOLARIS64.zip,12.2.0.1.34 or later
19.18.0.0.230117,19c,RDBMS,DATABASE RELEASE UPDATE 19.18.0.0.0 (REL-JAN230131),Linux x86-64,patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,19c,H1_2023,patch,34765931,p34765931_190000_Linux-x86-64.zip,12.2.0.1.34 or later
19.18.0.0.230117,19c,GI,GI RELEASE UPDATE 19.18.0.0.0 (REL-JAN230131),Linux x86-64,grid_patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,19c,H1_2023,grid_patch,34762026,p34762026_190000_Linux-x86-64.zip,12.2.0.1.34 or later
19.18.0.0.230117,19c,RDBMS,DATABASE RELEASE UPDATE 19.18.0.0.0 (REL-JAN230131),IBM AIX on POWER Systems (64-bit),patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,19c,H1_2023,patch,34765931,p34765931_190000_AIX64-5L.zip,12.2.0.1.34 or later
19.18.0.0.230117,19c,GI,GI RELEASE UPDATE 19.18.0.0.0 (REL-JAN230131),IBM AIX on POWER Systems (64-bit),grid_patch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,19c,H1_2023,grid_patch,34762026,p34762026_190000_AIX64-5L.zip,12.2.0.1.34 or later
19.18.0.0.230117,19c,BP,WINDOWS DATABASE BUNDLE PATCH 19.18.0.0.230117,Microsoft Windows x64 (64-bit),N/A,/u01,/software/AUTOMATION/ANSIBLE/patching,Windows,19c,H1_2023,N/A,34750795,p34750795_190000_MSWIN-x86-64.zip,12.2.0.1.34 or later
11.2.0.4,11g,JDK,JDK BUNDLE PATCH 11.2.0.4.230117,Linux x86-64,JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,11g,H1_2023,JDK,34777331,p34777331_112040_Linux-x86-64.zip,
11.2.0.4,11g,JDK,JDK BUNDLE PATCH 11.2.0.4.230117,IBM AIX on POWER Systems (64-bit),JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,11g,H1_2023,JDK,34777331,NR (NOT RELEASED),
11.2.0.4,11g,JDK,JDK BUNDLE PATCH 11.2.0.4.230117,Oracle Solaris on SPARC (64-bit),JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,11g,H1_2023,JDK,34777331,p34777331_112040_SOLARIS64.zip,
12.1.0.2,12cR1,JDK,JDK BUNDLE PATCH 12.1.0.2.230117,Linux x86-64,JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,12cR1,H1_2023,JDK,34777353,p34777353_121020_Linux-x86-64.zip,
12.1.0.2,12cR1,JDK,JDK BUNDLE PATCH 12.1.0.2.230117,IBM AIX on POWER Systems (64-bit),JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,12cR1,H1_2023,JDK,34777353,NR (NOT RELEASED),
12.1.0.2,12cR1,JDK,JDK BUNDLE PATCH 12.1.0.2.230117,Oracle Solaris on SPARC (64-bit),JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,12cR1,H1_2023,JDK,34777353,p34777353_121020_SOLARIS64.zip,
19c,19c,JDK,JDK BUNDLE PATCH 19.0.0.0.230117,Linux x86-64,JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,19c,H1_2023,JDK,34777391,p34777391_190000_Linux-x86-64.zip,
19c,19c,JDK,JDK BUNDLE PATCH 19.0.0.0.230117,IBM AIX on POWER Systems (64-bit),JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,19c,H1_2023,JDK,34777391,NR (NOT RELEASED),
19c,19c,JDK,JDK BUNDLE PATCH 19.0.0.0.230117,Microsoft Windows x64 (64-bit),JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Windows,19c,H1_2023,JDK,34777391,p34777391_190000_MSWIN-x86-64.zip,
11.2.0.4,11g,OJVM,OJVM PATCH SET UPDATE 11.2.0.4.230117,Linux x86-64,OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,11g,H1_2023,OJVM,34763334,p34763334_112040_Linux-x86-64.zip,
11.2.0.4,11g,OJVM,OJVM PATCH SET UPDATE 11.2.0.4.230117,IBM AIX on POWER Systems (64-bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,11g,H1_2023,OJVM,34763334,p34763334_112040_AIX64-5L.zip,
11.2.0.4,11g,OJVM,OJVM PATCH SET UPDATE 11.2.0.4.230117,Oracle Solaris on SPARC (64-bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,11g,H1_2023,OJVM,34763334,p34763334_112040_SOLARIS64.zip,
